City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,kapuskasing,49.4169,-82.4331,11.05,100,75,1.54,CA,1689583663
93,paradip garh,20.3167,86.6167,30.3,70,94,6.11,IN,1689583664
94,constantia,44.1833,28.65,30.39,52,0,5.31,RO,1689583501
95,hawaiian paradise park,19.5933,-154.9731,22.8,95,100,2.57,US,1689583664
96,hermanus,-34.4187,19.2345,16.54,73,86,3.78,ZA,1689583664
97,tirmiz,37.2242,67.2783,38.05,14,0,4.12,UZ,1689583664
98,punta arenas,-53.15,-70.9167,3.06,81,0,4.63,CL,1689583627
99,oriximina,-1.7656,-55.8661,23.92,75,90,1.33,BR,1689583664
100,port lincoln,-34.7333,135.8667,10.55,68,0,4.04,AU,1689583665
101,saint-pierre,-21.3393,55.4781,25.32,78,0,11.83,RE,1689583665
102,ushuaia,-54.8,-68.3,2.81,70,0,3.6,AR,1689583665
103,inhambane,-23.865,35.3833,20.99,73,0,0.0,MZ,1689583665
104,punta del este,-34.9667,-54.95,9.06,72,75,8.49,UY,1689583665
105,adamstown,-25.066,-130.1015,21.78,65,100,4.81,PN,1689583666
106,aasiaat,68.7098,-52.8699,2.79,95,99,2.39,GL,1689583666
107,iqaluit,63.7506,-68.5145,5.85,100,100,4.12,CA,1689583546
108,selma,36.5708,-119.6121,31.88,74,0,3.09,US,1689583666
109,thompson,55.7435,-97.8558,14.09,88,100,1.54,CA,1689583666
110,college,64.8569,-147.8028,17.99,71,75,4.63,US,1689583666
111,touros,-5.1989,-35.4608,22.79,87,7,4.62,BR,1689583667
112,alice springs,-23.7,133.8833,19.75,30,40,3.09,AU,1689583667
113,rongelap,11.1635,166.8941,28.11,81,93,7.01,MH,1689583667
114,nova sintra,14.8667,-24.7167,22.68,83,99,6.04,CV,1689583667
115,vadso,70.0744,29.7487,20.49,77,40,3.6,NO,1689583668
116,mulayjah,27.271,48.4242,47.35,4,0,5.11,SA,1689583668
117,mahibadhoo,3.7833,72.9667,28.81,74,100,6.15,MV,1689583668
118,pisco,-13.7,-76.2167,18.03,77,100,2.57,PE,1689583668
119,severo-yeniseyskiy,60.3725,93.0408,20.25,35,8,3.85,RU,1689583669
120,carnarvon,-24.8667,113.6333,19.64,41,0,5.38,AU,1689583669
121,kidal,18.4411,1.4078,35.37,29,7,2.18,ML,1689583669
122,juneau,58.3019,-134.4197,14.12,100,100,3.6,US,1689583511
123,suntar,62.1444,117.6319,21.77,66,92,3.83,RU,1689583669
124,sovetskiy,61.3614,63.5842,25.44,34,100,3.62,RU,1689583670
125,mana,5.6592,-53.7767,23.91,93,46,2.78,GF,1689583670
126,las vegas,36.175,-115.1372,37.88,17,0,3.58,US,1689583538
127,malvan,16.0667,73.4667,27.02,85,100,7.87,IN,1689583670
128,puerto natales,-51.7236,-72.4875,-0.7,90,100,2.28,CL,1689583630
129,georgetown,5.4112,100.3354,32.97,70,40,4.63,MY,1689583618
130,richards bay,-28.783,32.0377,22.08,55,0,3.49,ZA,1689583671
131,longyearbyen,78.2186,15.6401,7.91,57,20,8.75,SJ,1689583671
132,sitka,57.0531,-135.33,12.94,94,100,1.54,US,1689583379
133,khandyga,62.6667,135.6,19.08,43,65,1.07,RU,1689583671
134,necochea,-38.5473,-58.7368,6.06,67,92,7.58,AR,1689583672
135,vydrino,51.485,104.8461,16.66,95,100,2.61,RU,1689583672
136,port augusta,-32.5,137.7667,12.5,49,0,2.76,AU,1689583672
137,ladovskaya balka,45.6297,41.4023,25.7,42,94,5.24,RU,1689583672
138,mombetsu,44.3525,143.3525,15.45,94,86,2.86,JP,1689583672
139,saldanha,-33.0117,17.9442,13.03,78,87,1.05,ZA,1689583672
140,albany,42.6001,-73.9662,20.73,94,0,1.36,US,1689583517
141,ulaangom,49.9811,92.0667,28.95,21,14,3.28,MN,1689583673
142,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,3.0,RU,1689583673
143,lebanon,36.2081,-86.2911,22.34,94,20,0.0,US,1689583541
144,acarau,-2.8856,-40.12,24.74,79,6,7.17,BR,1689583657
